"time","state.hour","state.value"
"2022-01-26T01:53:49.845+03:00",,"0"
"2022-01-26T02:53:51.284+03:00",,"0"
"2022-01-26T03:53:52.751+03:00",,"0"
"2022-01-26T04:53:54.103+03:00",,"0"
"2022-01-26T05:53:55.833+03:00",,"0"
"2022-01-26T06:53:57.519+03:00",,"0"
"2022-01-26T07:53:59.135+03:00",,"0"
"2022-01-26T08:35:54.371+03:00",,"1"
"2022-01-26T08:36:28.874+03:00",,"0"
"2022-01-26T08:53:15.562+03:00",,"1"
"2022-01-26T08:53:17.184+03:00",,"0"
"2022-01-26T08:53:58.733+03:00",,"0"
"2022-01-26T09:28:03.760+03:00",,"1"
"2022-01-26T09:28:40.932+03:00",,"0"
"2022-01-26T09:54:02.325+03:00",,"0"
"2022-01-26T10:54:04.688+03:00",,"0"
"2022-01-26T11:30:57.545+03:00",,"1"
"2022-01-26T11:31:05.205+03:00",,"0"
"2022-01-26T11:34:46.223+03:00",,"1"
"2022-01-26T11:34:52.478+03:00",,"0"
"2022-01-26T11:54:05.104+03:00",,"0"
"2022-01-26T12:54:07.571+03:00",,"0"
"2022-01-26T13:54:09.377+03:00",,"0"
"2022-01-26T14:54:10.909+03:00",,"0"
"2022-01-26T15:54:12.725+03:00",,"0"
"2022-01-26T16:00:08.244+03:00",,"1"
"2022-01-26T16:01:54.188+03:00",,"0"
"2022-01-26T16:34:09.793+03:00",,"1"
"2022-01-26T16:34:47.196+03:00",,"0"
"2022-01-26T16:54:15.493+03:00",,"0"
"2022-01-26T17:54:16.891+03:00",,"0"
"2022-01-26T18:04:58.612+03:00",,"1"
"2022-01-26T18:06:19.924+03:00",,"0"
"2022-01-26T18:23:56.705+03:00",,"1"
"2022-01-26T18:23:58.576+03:00",,"0"
"2022-01-26T18:23:59.758+03:00",,"1"
"2022-01-26T18:24:08.743+03:00",,"0"
"2022-01-26T18:24:26.224+03:00",,"1"
"2022-01-26T18:24:39.221+03:00",,"0"
"2022-01-26T18:25:08.286+03:00",,"1"
"2022-01-26T18:25:14.342+03:00",,"0"
"2022-01-26T18:35:40.201+03:00",,"1"
"2022-01-26T18:35:45.615+03:00",,"0"
"2022-01-26T18:52:19.483+03:00",,"1"
"2022-01-26T18:52:51.215+03:00",,"0"
"2022-01-26T18:54:16.150+03:00",,"0"
"2022-01-26T18:59:01.581+03:00",,"1"
"2022-01-26T19:00:47.425+03:00",,"0"
"2022-01-26T19:00:49.796+03:00",,"1"
"2022-01-26T19:01:49.780+03:00",,"0"
"2022-01-26T19:11:20.436+03:00",,"1"
"2022-01-26T19:11:36.363+03:00",,"0"
"2022-01-26T19:12:19.370+03:00",,"1"
"2022-01-26T19:12:27.619+03:00",,"0"
"2022-01-26T19:32:53.393+03:00",,"1"
"2022-01-26T19:33:00.892+03:00",,"0"
"2022-01-26T19:42:35.681+03:00",,"1"
"2022-01-26T19:45:48.971+03:00",,"0"
"2022-01-26T19:46:34.713+03:00",,"1"
"2022-01-26T19:47:21.428+03:00",,"0"
"2022-01-26T19:47:27.517+03:00",,"1"
"2022-01-26T19:47:28.813+03:00",,"0"
"2022-01-26T19:50:21.999+03:00",,"1"
"2022-01-26T19:52:46.573+03:00",,"0"
"2022-01-26T19:54:17.928+03:00",,"0"
"2022-01-26T20:54:21.995+03:00",,"0"
"2022-01-26T21:54:23.578+03:00",,"0"
"2022-01-26T22:35:41.818+03:00",,"1"
"2022-01-26T22:35:46.852+03:00",,"0"
"2022-01-26T22:54:25.385+03:00",,"0"
"2022-01-26T23:54:26.608+03:00",,"0"
"2022-01-27T00:54:28.719+03:00",,"0"
"2022-01-27T01:54:29.524+03:00",,"0"
"2022-01-27T02:54:31.582+03:00",,"0"
"2022-01-27T03:54:32.423+03:00",,"0"
"2022-01-27T04:54:34.453+03:00",,"0"
"2022-01-27T05:54:35.609+03:00",,"0"
"2022-01-27T07:54:38.718+03:00",,"0"
"2022-01-27T08:57:49.251+03:00",,"1"
"2022-01-27T08:58:02.457+03:00",,"0"
"2022-01-27T09:09:56.576+03:00",,"1"
"2022-01-27T09:09:57.181+03:00",,"0"
"2022-01-27T09:54:42.112+03:00",,"0"
"2022-01-27T10:51:26.560+03:00",,"1"
"2022-01-27T10:54:02.911+03:00",,"0"
